Job_Title,"Total _Years_of _Professional_Experience",Total_Compensation
"Business Development Manager","5-7 years",485340
"Administrative Manager","11 - 20 years",484490
"Senior Technical Program Manager","11 - 20 years",483000
"Software Development Manager","21 - 30 years",483000
"Senior Editor","5-7 years",481800
"Senior Security Engineer","21 - 30 years",481680
Member-Manager,"11 - 20 years",480000
Lecturer,"8 - 10 years",479642
"Software Engineer III","2 - 4 years",478170
"Foreign Service Officer","11 - 20 years",475824
"Mechanical Engineer","11 - 20 years",473000
"Staff Engineer","21 - 30 years",472500
"Senior Data Analyst","21 - 30 years",472000
"Systems Administrator","11 - 20 years",470100
Unknown,"5-7 years",469080
"Chief Of Staff","21 - 30 years",467875
"Compliance Officer","11 - 20 years",466624
"HR  Director","31 - 40 years",465000
"Software Engineer III","11 - 20 years",464432
"Senior Strategist","5-7 years",464400
"Scrum Master","11 - 20 years",464000
"Research Associate","8 - 10 years",463322
"Senior Technical Writer","8 - 10 years",462428
"General Manager","21 - 30 years",461820
"Risk Manager","11 - 20 years",461300
"Product Marketing Manager","11 - 20 years",461000
"Senior Development Manager","21 - 30 years",460000
"Senior Corporate Counsel","31 - 40 years",460000
Pharmacist,"11 - 20 years",459160
"Senior Policy Analyst","8 - 10 years",458317
Investigator,"5-7 years",457295
"Senior Research Associate","2 - 4 years",457000
"Development Manager","5-7 years",456600
"Machine Learning Engineer","2 - 4 years",456000
"Deputy Director","8 - 10 years",455430
"Senior Solutions Architect","11 - 20 years",454000
"HR Manager","11 - 20 years",453950
"Finance Manager","21 - 30 years",453560
"Staff Software Engineer","5-7 years",453200
"Sales Manager","8 - 10 years",451600
"Customer Service Manager","21 - 30 years",450240
"Sales Manager","2 - 4 years",450000
"Business Development","11 - 20 years",450000
"Product Designer","11 - 20 years",449510
"Quality Manager","21 - 30 years",448500
"Development Officer","11 - 20 years",447400
"Staff Product Manager","11 - 20 years",447000
"Lead Consultant","11 - 20 years",446000
Veterinarian,"11 - 20 years",446000
"Staff Engineer","8 - 10 years",445000
"Associate Editor","5-7 years",444464
"Marketing Coordinator","11 - 20 years",444000
"Proposal Manager","21 - 30 years",443038
"Registered Nurse","2 - 4 years",442971
"Senior Graphic Designer","5-7 years",441999
"Director of Professional Services","11 - 20 years",441500
"IT Project Manager","11 - 20 years",440698
"Director Of Customer Success","8 - 10 years",440500
Chemist,"11 - 20 years",440282
"Senior Researcher","11 - 20 years",440200
"Supply Chain Manager","11 - 20 years",439860
"Program Manager Ii","11 - 20 years",439600
"Financial Advisor","5-7 years",439250
"User Experience Researcher","5-7 years",438000
"Senior Product Designer","21 - 30 years",437500
"Communications Specialist","8 - 10 years",437000
"Associate Director","31 - 40 years",437000
"Environmental Specialist","5-7 years",435750
"Accounts Payable Manager","11 - 20 years",435300
"Vice President  HR","11 - 20 years",435000
"Account Manager","21 - 30 years",434567
"Branch Manager","21 - 30 years",433000
Planner,"5-7 years",432976
"Senior Engineering Manager","11 - 20 years",432750
"Assistant Manager","5-7 years",432107
"Policy Analyst","5-7 years",431800
"Research Analyst","2 - 4 years",431510
"Contract Specialist","11 - 20 years",431384
"Product Designer","8 - 10 years",430500
"Academic Advisor","8 - 10 years",430000
"Communications Specialist","2 - 4 years",430000
"Senior Counsel","5-7 years",430000
"Electrical Engineer","5-7 years",429500
Faculty,"11 - 20 years",429500
"Business Manager","21 - 30 years",429000
Recruiter,"11 - 20 years",428700
"Systems Engineer","21 - 30 years",428700
"Technical Program Manager","8 - 10 years",428000
"School Counselor","11 - 20 years",427632
"Deputy Executive Director","11 - 20 years",427125
"Department Manager","11 - 20 years",426300
"Engineering Team Lead","11 - 20 years",426000
"Accounting Manager","5-7 years",425600
Librarian,"2 - 4 years",425500
"Associate Product Manager","2 - 4 years",425425
